Wall time,Step,Value
1763179030.3350005,43315,-27.547483444213867
1763179037.3931346,43363,-30.891258239746094
1763179042.1980836,43396,-33.89506530761719
1763179047.3640416,43432,-42.063079833984375
1763179049.8667047,43449,-39.47699737548828
1763179065.2137718,43552,-36.491859436035156
1763179071.2552118,43591,-26.98483657836914
1763179082.286082,43663,-31.149608612060547
1763179126.8322997,43968,-34.42415237426758
1763179149.665973,44126,-37.565826416015625
1763179164.080095,44225,-38.70746994018555
1763179170.082961,44264,-30.008399963378906
1763179176.816438,44309,-30.021390914916992
1763179184.3096514,44361,-36.89412307739258
1763179186.709468,44377,-40.62867736816406
1763179189.168896,44394,-40.99850845336914
1763179214.5303302,44568,-38.284950256347656
1763179216.5662827,44581,-37.19834899902344
1763179220.365795,44605,-40.529598236083984
1763179249.490817,44804,-36.00972366333008
1763179271.6511602,44953,-39.887699127197266
1763179292.02699,45089,-34.16313171386719
1763179329.5571907,45338,-29.736780166625977
1763179370.8647068,45616,-38.56159973144531
1763179373.3563826,45634,-42.863563537597656
1763179377.6122785,45662,-33.114044189453125
1763179395.572766,45785,-29.926738739013672
1763179399.5118608,45809,-25.159292221069336
1763179408.3998873,45868,-24.687686920166016
1763179431.7693915,46028,-37.551021575927734
1763179449.9280837,46148,-31.12014389038086
1763179452.0538163,46163,-28.65100860595703
1763179477.4812262,46339,-34.246673583984375
1763179495.656718,46463,-34.0795783996582
1763179508.3677912,46544,-26.063024520874023
1763179510.5628002,46558,-22.489910125732422
1763179515.0902135,46588,-27.49738311767578
1763179520.0618782,46622,-36.151512145996094
1763179532.9852073,46712,-41.27357864379883
1763179588.7974098,47090,-30.230119705200195
1763179590.68273,47102,-25.111352920532227
1763179611.940326,47241,-25.5460147857666
1763179615.9281898,47267,-27.95030403137207
1763179624.316951,47322,-26.476839065551758
1763179626.386337,47336,-27.573745727539062
1763179657.2425892,47544,-28.95195960998535
1763179671.6611915,47642,-43.42041778564453
1763179682.5608008,47713,-35.50063705444336
1763179686.7482271,47739,-28.22776222229004
1763179691.9723573,47775,-28.306055068969727
1763179696.2740204,47803,-26.436594009399414
1763179725.093001,47996,-29.725421905517578
1763179734.211614,48055,-30.088592529296875
1763179738.371096,48083,-31.93486976623535
1763179744.0575814,48119,-20.97327423095703
1763179764.9458346,48264,-42.01298522949219
1763179767.4654493,48282,-43.64295196533203
1763179790.098158,48438,-29.575847625732422
1763179794.2741907,48465,-29.019084930419922
1763179819.8459709,48632,-22.656959533691406
1763179821.8586378,48645,-21.19085121154785
1763179824.4033387,48663,-31.15720558166504
1763179833.0430343,48720,-32.026241302490234
1763179842.1238837,48782,-28.242164611816406
1763179854.9061558,48866,-27.54808807373047
1763179892.066904,49114,-27.46194076538086
1763179897.6455276,49147,-24.519567489624023
1763179905.2573986,49200,-31.042268753051758
1763179907.7969975,49218,-36.85578155517578
1763179924.5451381,49327,-28.177989959716797
1763179937.9571488,49417,-28.458120346069336
1763179951.7707908,49509,-32.007843017578125
1763179962.4869936,49579,-25.622764587402344
1763180003.8514285,49856,-28.225696563720703
1763180012.5055811,49914,-26.776330947875977
1763180016.1934836,49935,-25.95519256591797
1763180027.1592476,50008,-28.919309616088867
1763180037.548927,50077,-23.807130813598633
1763180065.06888,50261,-29.54810333251953
1763180082.0569973,50380,-37.73685073852539
1763180117.0465863,50617,-35.04463577270508
1763180140.8557613,50774,-33.39118957519531
1763180143.453965,50792,-33.7475471496582
1763180149.476465,50832,-32.22623825073242
1763180162.2680945,50916,-24.394954681396484
1763180179.3242283,51031,-31.73301887512207
1763180181.5415819,51046,-35.097835540771484
1763180183.534443,51059,-32.009429931640625
1763180185.669068,51074,-29.929031372070312
1763180206.726419,51219,-37.61091995239258
1763180256.7986834,51550,-22.946081161499023
1763180259.041286,51565,-27.57962989807129
1763180260.9829268,51577,-25.803375244140625
1763180276.2248628,51678,-25.901592254638672
1763180301.7275884,51853,-30.099573135375977
1763180305.968418,51881,-25.42462921142578
1763180332.4151328,52060,-30.2089900970459
1763180334.7513738,52075,-29.402568817138672
1763180342.2619386,52126,-38.55400848388672
1763180347.5340736,52163,-45.44076156616211
1763180349.8440144,52179,-46.515098571777344
1763180354.6756594,52213,-51.42161560058594
1763180395.8919966,52486,-29.710636138916016
1763180413.5991387,52604,-27.77991485595703
1763180420.560828,52652,-31.888751983642578
1763180440.6384873,52786,-31.597808837890625
1763180443.087219,52804,-36.04365539550781
1763180461.0147693,52929,-28.75088882446289
1763180462.9242094,52941,-27.845304489135742
1763180476.5240338,53034,-38.75889205932617
1763180483.6999857,53083,-42.86178207397461
